#,Advertiser Name,Category,Relevancy
181,Expedia,Travel,2
182,priceline,Travel,3
183,CALPAK,Travel,3
184,Vrbo,Travel,3
185,Alaska Airlines,Travel,3
186,Norwegian Cruise Line,Travel,3
187,Samsonite,Travel,3
188,Airbnb,Travel,2
189,Booking.com,Travel,2
190,Skyscanner,Travel,2
191,Turo,Travel,2
192,Qatar Airways,Travel,3
193,Malaysia Airlines,Travel,2
194,Tripscout,Travel,3
195,Marriott International,Travel,3
196,Club Med,Travel,3
197,Jetstar Australia,Travel,3
198,CheapOair,Travel,3
199,Wandrd,Travel,3
200,Panda Express,Food,1
201,Too Good To Go,Food,3
202,Anthony's Restaurants,Food,3
203,Kroger,Food,1
204,Goldbelly,Food,3
205,Papa Murphy's Pizza,Food,3
206,Factor_,Food,3
207,Habit Burger & Grill,Food,1
208,STK Steakhouse,Food,3
209,Instacart,Food,3
210,Home Chef,Food,3
211,Free Rein Coffee Company,Food,3
212,Jimmy Dean,Food,2
213,Joyard Cuisine & Bar,Food,3
214,Steaz,Food,3
215,Hollywood Ranch Market,Food,3
216,YoloFoods Singapore,Food,3
217,ZBiotics,Food,3
218,iHerb,Health,1
219,NIVEA,Health,3
220,Sephora,Health,2
221,GlassesUSA.com,Health,2
222,tarte cosmetics,Health,3
223,FragranceX.com,Health,3
224,Dermalogica,Health,3
225,Marek Health 3,Health,3
226,Paul Saladino MD,Health,3
227,Manta Sleep,Health,3
228,Mobility Manual,Health,3
229,DHC USA Inc.,Health,3
230,oVertone,Health,3
231,STYLEVANA,Health,3
232,Breatheeze,Health,3
233,Tempur-Pedic USA,Health,3
234,Therighthairstyles.com,Health,3
235,Hulu,Entertainment,1
236,Cinemark USA,Entertainment,1
237,Live Nation Concerts,Entertainment,2
238,Paramount Pictures,Entertainment,3
239,Disney,Entertainment,3
240,CBS,Entertainment,2
241,LINE WEBTOON,Entertainment,3
242,Cirque du Soleil,Entertainment,3
243,Woodland Park Zoo,Entertainment,3
244,The Wall Street Journal,Entertainment,3
245,Forbes Media LLC,Entertainment,3
246,Axios,Entertainment,3
247,Aniplex USA,Entertainment,3
248,GKIDS,Entertainment,3
249,Hypebeast,Entertainment,2
250,Pabst Theater Group,Entertainment,3
251,Nectar Lounge,Entertainment,3
252,Skyline Comedy Club,Entertainment,3
253,The Rock Boat,Entertainment,3
254,Truckee Music Fest,Entertainment,3
255,Steven Bartlett,Entertainment,3
256,Limelight Belfast,Entertainment,3
257,Disney Streaming,Entertainment,3
258,Big Night Entertainment Group,Entertainment,3
259,San Diego Bayfest,Entertainment,3
260,Chase,Finance,2
261,BECU,Finance,2
262,Veterans United,Finance,3
263,Opendoor,Finance,3
264,Apartments.com,Finance,3
265,Realtor.com,Finance,3
266,PayPal Honey,Finance,3
267,TaxRise,Finance,3
268,Ramit Sethi's IWT,Finance,3
269,Visa,Finance,2
270,Triumph Capital,Finance,3
271,Plaid,Finance,3
272,Afterpay USA,Finance,3
273,Baby Jogger,Other,3
274,HockeyStickMan,Other,3
275,Harbor Freight,Other,3
276,IKEA,Other,2
277,Amazon.com,Other,1
278,Etsy,Other,1
279,AliExpress,Other,1
280,eBay,Other,1
281,Udemy,Other,1
282,University of Michigan,Other,3
283,Dyson,Other,3
284,Philips Home Living,Other,3
285,Scholastic,Other,3
286,Brilliance.com,Other,3
287,MoMA Design Store,Other,3
288,Ace Hardware,Other,3
289,Lowe's Home Improvement,Other,3
290,Groupon Inc.,Other,2
291,AmericanMuscle.com,Other,3
292,Sabai Design,Other,3
293,Study.com,Other,3
294,Osmosis from Elsevier,Other,3
295,Charlie's Soap,Other,3
296,Andar Singapore,Other,3
297,Big Moods,Other,3
298,NTUC FairPrice,Food,3
299,Birkenstock ME,Fashion,3
300,Carhartt Work In Progress,Fashion,3
